ending1,ending2,labels,startphrase,valid,category,obj,vis,soc,cul
hirup kawas kakekang,hirup kawas bebas.,0,hirup kawas kurung batok,1,obj,1,0,0,0
hirup kawas kakekang,hirup kawas bebas.,1,hirup kawas murag bulu bitis.,1,obj,1,0,0,0
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,0,jadi jalma teh kudu hampang birit,1,cul,0,0,0,1
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,1,jadi jalma teh kudu beurat birit.,1,cul,0,0,0,1
mamat lumpat siga gancang,mamat lumpat siga laun.,0,Mamat lumpatna siga uncal,1,obj,1,0,0,0
mamat lumpat siga gancang,mamat lumpat siga laun.,1,Mamat lumpatna siga kuya.,1,obj,1,0,0,0
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,0,hirup teh kudu boga pamadeugan,1,soc,0,0,1,0
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,1,hirup teh kudu boga kaditu kadieu.,1,soc,0,0,1,0
jadi jalma kudu jujur,jadi jalma kudu boong.,0,si amat mah sok ngeduk cikur kedah mitutur,1,cul,0,0,0,1
jadi jalma kudu jujur,jadi jalma kudu boong.,1,si amat mah sok luncat licin.,1,cul,0,0,0,1
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,0,ceuk ema jadi jalmi teh kedah sing someah hade ka semah,1,cul,0,0,0,1
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,1,ceuk ema jadi jalmi teh kedah sing goreng bagug.,1,cul,0,0,0,1
si eta mah ngomong wae,si eta mah cicing wae.,0,si eta mah ateul biwir,1,obj,1,0,0,0
si eta mah ngomong wae,si eta mah cicing wae.,1,si eta mah kawas gaang katincak.,1,obj,1,0,0,0
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,0,lamun mikir kudu pondok lengkah,1,vis,0,1,0,0
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,1,lamun mikir kudu panjang lengkah.,1,vis,0,1,0,0
budak eta mah babarian ceurik,budak eta mah wanian.,0,budak eta mah epes meer,1,cul,0,0,0,1
budak eta mah babarian ceurik,budak eta mah wanian.,1,budak eta mah wanteran.,1,cul,0,0,0,1
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,0,jelema lamun geus kandel kulit bengeut,1,obj,1,0,0,0
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,1,jelema lamun geus isinan kudu diantepkeun.,1,obj,1,0,0,0
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,0,si Udin jadi jalma teh meni buntut kasiran,1,cul,0,0,0,1
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,1,si Udin jadi jalma teh meni berehan.,1,cul,0,0,0,1
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,0,Iis mah amis daging,1,cul,0,0,0,1
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,1,Iis mah pahang tulang.,1,cul,0,0,0,1
sasa teh biasana ramah,sasa teh biasana judes.,0,sasa teh biasana sok jadi amis budi,1,obj,1,0,0,0
sasa teh biasana ramah,sasa teh biasana judes.,1,sasa teh biasana sok jadi haseum budi.,1,obj,1,0,0,0
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,0,lamun bade nginjem duit kudu make duit panas,1,obj,1,0,0,0
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,1,lamun bade nginjem duit kudu make duit tiis.,1,obj,1,0,0,0
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,0,jalma ayeuna teh sok gurat cai,1,obj,1,0,0,0
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,1,jalma ayeuna teh sok gurat batu.,1,obj,1,0,0,0
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,0,lamun bisnis mah pasti jadi kandel dompet,1,vis,0,1,0,0
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,1,lamun bisnis mah pasti jadi kokoro nyoso.,1,cul,0,0,0,1
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,0,nanaon ge teu menang kaleleuwihan bisi tamplok bacoteun,1,soc,0,0,1,0
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,1,nanaon ge teu menang kaleleuwihan bisi tamplok batokeun.,1,cul,0,0,0,1
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,0,jadi jelema teh kadang bisa jadi yuni kembang,1,obj,1,0,0,0
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,1,jadi jelema teh kadang bisa jadi yuni tai.,1,obj,1,0,0,0
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.",0,"jelema teh kabagi jadi dua, nyaeta anu wening galih",1,soc,0,0,1,0
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.",1,"jelema teh kabagi jadi dua, nyaeta anu sulit ati.",1,soc,0,0,1,0
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,0,kudu hati hati milih pasangan bisi jadi potol jarum,1,cul,0,0,0,1
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,1,kudu hati hati milih pasangan bisi jadi potol teko.,1,cul,0,0,0,1
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,0,si Bina mah anak emas,1,obj,1,0,0,0
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,1,si Bina mah anak sampeuran.,1,cul,0,0,0,1
budak teh kudu alus didikana,budak teh kudu kurang didikan.,0,budak teh kudu asak warah,1,obj,1,0,0,0
budak teh kudu alus didikana,budak teh kudu kurang didikan.,1,budak teh kudu atah adol.,1,obj,1,0,0,0
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,0,tong jadi budak anu bodo katotoloyo,1,cul,0,0,0,1
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,1,tong jadi budak anu bodo alewoh.,1,cul,0,0,0,1
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,0,ari jadi salaki teh kudu banting tulang,1,cul,0,0,0,1
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,1,ari jadi salaki teh kudu badag cagap.,1,cul,0,0,0,1
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,0,si Dewi mah jadi gadis teh meni handap asor,1,cul,0,0,0,1
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,1,si Dewi mah jadi gadis teh meni gede hulu.,1,cul,0,0,0,1
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,0,ceunah lamun jadi awewe teh kudu siga putri raja,1,vis,0,1,0,0
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,1,ceunah lamun jadi awewe teh kudu siga mak lampir.,1,vis,0,1,0,0
poe ieu teh cuaca siga panas pisan,poe ieu teh cuaca siga hujan angin.,0,poe ieu teh cuaca siga bisa ngagoreng lauk dinu aspal,1,obj,1,0,0,0
poe ieu teh cuaca siga panas pisan,poe ieu teh cuaca siga hujan angin.,1,poe ieu teh cuaca siga hujan angin dordar gelap.,1,obj,1,0,0,0
hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,0,hujan teh meuni siga ngajak geulut,1,soc,0,0,1,0
hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,1,hujan teh meuni siga tiis ceuli.,1,obj,1,0,0,0
"si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.",0,"si eta mah kuatannya, teu siga lempeuh yuni",1,cul,0,0,0,1
"si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.",1,"si eta mah kuatannya, teu siga jagjag waringkas.",1,cul,0,0,0,1
ai budak keneh mah antep kudu jadi budak nu reseup kaluar,ai budak keneh mah antep kudu jadi tong dikurung.,0,ai budak keneh mah antep kudu jadi kembang buruan,1,cul,0,0,0,1
ai budak keneh mah antep kudu jadi budak nu reseup kaluar,ai budak keneh mah antep kudu jadi tong dikurung.,1,ai budak keneh mah antep kudu jadi kurung batok.,1,obj,1,0,0,0
Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,0,Kadang hirup teh bisa jadi kembang seungit,1,obj,1,0,0,0
Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,1,Kadang hirup teh bisa jadi bau bangke.,1,obj,1,0,0,0
Ulah agul kana harta saetik nu dipikaboga ayeuna,Ulah agul kana harta loba nu dipikaboga ayeuna.,0,Ulah agul kana payung butut,1,obj,1,0,0,0
Ulah agul kana harta saetik nu dipikaboga ayeuna,Ulah agul kana harta loba nu dipikaboga ayeuna.,1,Ulah agul kana imah gedogan.,1,obj,1,0,0,0
Jalma teh bisa jadi nu tenang,Jalma teh bisa jadi nu riweuh.,0,Jalma teh bisa jadi cai,1,obj,1,0,0,0
Jalma teh bisa jadi nu tenang,Jalma teh bisa jadi nu riweuh.,1,Jalma teh bisa jadi seune.,1,cul,0,0,0,1
Hirup kudu bisa jadi boga pamadegan,Hirup kudu bisa jadi plin-plan.,0,Hirup kudu bisa jadi batu,1,obj,1,0,0,0
Hirup kudu bisa jadi boga pamadegan,Hirup kudu bisa jadi plin-plan.,1,Hirup kudu bisa jadi awi sumaer di pasir.,1,obj,1,0,0,0
Jadi budak ulah teu sopan,Jadi budak ulah sopan.,0,Jadi budak ulah nincak hulu,1,soc,0,0,1,0
Jadi budak ulah teu sopan,Jadi budak ulah sopan.,1,Jadi budak ulah hade basa.,1,soc,0,0,1,0
hirup mah ngan ukur senang,hirup mah ngan ukur sedih.,0,hirup mah ngan ukur hahay,1,cul,0,0,0,1
hirup mah ngan ukur senang,hirup mah ngan ukur sedih.,1,hirup mah ngan ukur dedeuh.,1,cul,0,0,0,1
ai ka batur teh ulah sok ningali ti luarna hungkul,ai ka batur teh ulah sok leuwi jero.,0,ai ka batur teh ulah sok ngukur baju sasereg awak,1,soc,0,0,1,0
ai ka batur teh ulah sok ningali ti luarna hungkul,ai ka batur teh ulah sok leuwi jero.,1,ai ka batur teh ulah sok ngukur baju jeung kaen-kaenna.,1,soc,0,0,1,0
kulit teh meuni kelir koneng,kulit teh meuni kelir coklat.,0,kulit teh meuni kelir kawas cangkang cau,1,obj,1,0,0,0
kulit teh meuni kelir koneng,kulit teh meuni kelir coklat.,1,kulit teh meuni kelir kawas sawo asak.,1,obj,1,0,0,0
"lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.",0,"lamun aya masalah, hidup teh karasa keur buuk pakusut",1,obj,1,0,0,0
"lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.",1,"lamun aya masalah, hidup teh karasa keur jalan tol.",1,obj,1,0,0,0
jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,0,jadi gadis balik teh tong pas datang panonpoe,1,soc,0,0,1,0
jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,1,jadi gadis balik teh tong pas datang bulan.,1,soc,0,0,1,0
Lamun gawe teh kuduna bisa kompak,Lamun gawe teh kuduna bisa masing-masing.,0,Lamun gawe teh kuduna mah bisa rerejeungan,1,soc,0,0,1,0
Lamun gawe teh kuduna bisa kompak,Lamun gawe teh kuduna bisa masing-masing.,1,Lamun gawe teh kuduna mah bisa paaing-aing.,1,soc,0,0,1,0
Nuju liburan teh kedah bari gumbira,Nuju liburan teh kedah bari nyesel.,0,Nuju liburan teh kedah bari bear budi,1,cul,0,0,0,1
Nuju liburan teh kedah bari gumbira,Nuju liburan teh kedah bari nyesel.,1,Nuju liburan teh kedah bari kaduhung.,1,cul,0,0,0,1
Hirup teh kadang bisa jadi teu dihargaan,Hirup teh kadang bisa jadi diagung-agungkeun.,0,Hirup teh kadang bisa jadi runtah,1,obj,1,0,0,0
Hirup teh kadang bisa jadi teu dihargaan,Hirup teh kadang bisa jadi diagung-agungkeun.,1,Hirup teh kadang bisa jadi emas.,1,obj,1,0,0,0
Sangkan hirup teh loba cobaan kudu bisa ngarumasakeun.,Sangkan hirup teh loba kabahagiaan kudu bisa ngarumasakeun.,0,Sangkan hirup teh loba kapait,1,obj,1,0,0,0
Sangkan hirup teh loba cobaan kudu bisa ngarumasakeun.,Sangkan hirup teh loba kabahagiaan kudu bisa ngarumasakeun.,1,Sangkan hirup teh loba kaamis kudu bisa ngarumasakeun.,1,obj,1,0,0,0
Ngomong jeung si eta mah nya meuni lalaunan,Ngomong jeung si eta mah nya meuni jojorowokan.,0,Ngomong jeung si eta mah nya meuni kawas sireum,1,obj,1,0,0,0
Ngomong jeung si eta mah nya meuni lalaunan,Ngomong jeung si eta mah nya meuni jojorowokan.,1,Ngomong jeung si eta mah nya meuni kawas maung.,1,obj,1,0,0,0
Kadang jelema teh bisa teu boga kaera,Kadang jelema teh bisa eraan.,0,Kadang jelema teh bisa kandel kulit bengeut,1,obj,1,0,0,0
Kadang jelema teh bisa teu boga kaera,Kadang jelema teh bisa eraan.,1,Kadang jelema teh bisa ipis kulit bengeut.,1,obj,1,0,0,0
Ayeuna mah tos jadi kolot,Ayeuna mah tos jadi ngora keneh.,0,ayeuna buuk na teh tos jadi barodas,1,vis,0,1,0,0
Ayeuna mah tos jadi kolot,Ayeuna mah tos jadi ngora keneh.,1,ayeuna buuk na teh tos jadi harideung.,1,vis,0,1,0,0
Jadi jelema mah ulah iri,Jadi jelema mah ulah bageur.,0,Jadi jelema mah ulah sulit ati,1,soc,0,0,1,0
Jadi jelema mah ulah iri,Jadi jelema mah ulah bageur.,1,Jadi jelema mah ulah hade hate.,1,soc,0,0,1,0
Ayeuna mah ka Bandung teh meuni deket,Ayeuna mah ka Bandung teh meuni jauh.,0,Ayeuna mah ka Bandung teh meuni siga jalan ka cai,1,soc,0,0,1,0
Ayeuna mah ka Bandung teh meuni deket,Ayeuna mah ka Bandung teh meuni jauh.,1,Ayeuna mah ka Bandung teh meuni siga mapay jalan satapak.,1,soc,0,0,1,0
Maneh mah jadi jelema teh meuni loba dahar,Maneh mah jadi jelema teh meuni tara barang dahar.,0,Maneh mah jadi jelema teh meuni beteung karet,1,obj,1,0,0,0
Maneh mah jadi jelema teh meuni loba dahar,Maneh mah jadi jelema teh meuni tara barang dahar.,1,Maneh mah jadi jelema teh meuni beuteng heras.,1,obj,1,0,0,0
Lalakonna keueungeun,Lalakonna liar.,0,Lalakonna siga bangkong dikurung batok,1,obj,1,0,0,0
Lalakonna keueungeun,Lalakonna liar.,1,Lalakonna siga manuk dikencarkeun.,1,obj,1,0,0,0
Balong laukna beresih,Balong laukna ledig.,0,Balong laukna siga mencrang cai herang,1,vis,0,1,0,0
Balong laukna beresih,Balong laukna ledig.,1,Balong laukna siga buyatak solokan.,1,vis,0,1,0,0
Rupina sae,Rupina awon.,0,Rupina siga kembang beukah,1,vis,0,1,0,0
Rupina sae,Rupina awon.,1,Rupina siga tahu beukah.,1,vis,0,1,0,0
Sora na tarik,Sora na laun.,0,Sorana kawas tarompet,1,obj,1,0,0,0
Sora na tarik,Sora na laun.,1,Sorana kawas susumputan.,1,obj,1,0,0,0
Neangan si eta hese,Neangan si eta gampil.,0,Neangan si eta kawas neang jarum di sawah,1,soc,0,0,1,0
Neangan si eta hese,Neangan si eta gampil.,1,Neangan si eta kawas neang domba dina kandang hayam.,1,soc,0,0,1,0
Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,0,Sapopoe si eta kawas nu diudag ku rentenir,1,soc,0,0,1,0
Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,1,Sapopoe si eta kawas nu teu boga pamajikan.,1,soc,0,0,1,0
Mun dahar loba,Mun dahar saeutik.,0,Mun makan siga nu teu boga duit,1,soc,0,0,1,0
Mun dahar loba,Mun dahar saeutik.,1,Mun makan siga loba duit.,1,soc,0,0,1,0
Nasihat apa na diemutan,Nasihat apa na poho.,0,Nasehat ti bapa na nangceub siga batu,1,obj,1,0,0,0
Nasihat apa na diemutan,Nasihat apa na poho.,1,Nasehat ti bapa na leungit siga debu kahujanan.,1,obj,1,0,0,0
Daging na hipu,Daging na heuras.,0,Dagingna siga tahu,1,obj,1,0,0,0
Daging na hipu,Daging na heuras.,1,Dagingna siga batu.,1,obj,1,0,0,0
Gawe na gancang,Gawe na lila.,0,Gawena siga nu diudag ku anjing,1,obj,1,0,0,0
Gawe na gancang,Gawe na lila.,1,Gawena siga nu keong meuntas jalan.,1,obj,1,0,0,0
Sakapeung jodoh teh teu kantos ditebak,Sakapeung jodoh teh kantos ditebak.,0,Sakapeung jodoh teh kawas meuli ucing dina karung,1,cul,0,0,0,1
Sakapeung jodoh teh teu kantos ditebak,Sakapeung jodoh teh kantos ditebak.,1,Sakapeung jodoh teh kawas meuli bumbu di pasar.,1,soc,0,0,1,0
Acuk na sae,Acuk na awon.,0,Acukna siga meuli di mall,1,vis,0,1,0,0
Acuk na sae,Acuk na awon.,1,Acukna siga nimu di rongsokan.,1,vis,0,1,0,0
Sapi na ageung,Sapi na leutik.,0,Sapi na siga limosin,1,obj,1,0,0,0
Sapi na ageung,Sapi na leutik.,1,Sapi na siga nu cacingan.,1,obj,1,0,0,0
Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,0,Mung ngomong siga aya sambelna,1,obj,1,0,0,0
Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,1,Mung ngomong siga putri solo.,1,cul,0,0,0,1
Ditingal teh si eta bau,Ditingal teh si eta wangi.,0,Ditingal teh si eta siga nu can ibak,1,soc,0,0,1,0
Ditingal teh si eta bau,Ditingal teh si eta wangi.,1,Ditingal teh si eta siga ibak kembang tujuh rupi.,1,cul,0,0,0,1
Ka pasar loba dangdan,Ka pasar teu dangdan.,0,Ka pasar ge siga nu rek ka uleman,1,vis,0,1,0,0
Ka pasar loba dangdan,Ka pasar teu dangdan.,1,Ka pasar ge siga nu rek sare.,1,vis,0,1,0,0
Lengeunna geutihan loba,Lengeunna geutihan saeutik.,0,Lengeunna geutihan siga nu ditabrak mobil,1,soc,0,0,1,0
Lengeunna geutihan loba,Lengeunna geutihan saeutik.,1,Lengeunna geutihan siga kakowet ucing.,1,soc,0,0,1,0
Si eta mung ceurik tarik,Si eta mung ceurik lalaunan.,0,Si eta mung ceurik siga nu loba masalah,1,soc,0,0,1,0
Si eta mung ceurik tarik,Si eta mung ceurik lalaunan.,1,Si eta mung ceurik siga euweuh masalah.,1,soc,0,0,1,0
Aya nu nyetir ugal-ugalan,Aya nu nyetir hati-hati.,0,Aya nu nyetir siga jalan boga akina,1,cul,0,0,0,1
Aya nu nyetir ugal-ugalan,Aya nu nyetir hati-hati.,1,Aya nu nyetir siga sieun labuh.,1,soc,0,0,1,0
Mangga na amis,Mangga na haseum.,0,Mangga na siga madu,1,obj,1,0,0,0
Mangga na amis,Mangga na haseum.,1,Mangga na siga cuka.,1,obj,1,0,0,0
Kalakuan rai na ka adi jail,Kalakuan rai na ka adi nyaah.,0,Rai na ka adi na teh siga cocoan,1,obj,1,0,0,0
Kalakuan rai na ka adi jail,Kalakuan rai na ka adi nyaah.,1,Rai na ka adi na teh siga perhiasan.,1,obj,1,0,0,0
Mung nyauran gugurusuhan,Mung nyauran anteng.,0,Si eta mung ngomong siga nu kahuruan,1,soc,0,0,1,0
Mung nyauran gugurusuhan,Mung nyauran anteng.,1,Si eta mung ngomong siga aya di situ.,1,soc,0,0,1,0
Rupi na kasep,Rupi na awon.,0,Rupi na siga arjuna,1,cul,0,0,0,1
Rupi na kasep,Rupi na awon.,1,Rupi na siga cepot.,1,cul,0,0,0,1
Kuliah na rajin,Kuliah na sakahayang.,0,Kuliah na siga euweuh tanggal beureum,1,cul,0,0,0,1
Kuliah na rajin,Kuliah na sakahayang.,1,Kuliah na siga kalender isina tanggal beureum.,1,cul,0,0,0,1
Awakna kiat,Awakna letoy.,0,Awakna siga tangkal jati,1,obj,1,0,0,0
Awakna kiat,Awakna letoy.,1,Awakna siga tangkal gedang.,1,obj,1,0,0,0
Mung lumpat gancang,Mung lumpat lila.,0,Mung lumpat si eta siga peucang,1,obj,1,0,0,0
Mung lumpat gancang,Mung lumpat lila.,1,Mung lumpat si eta siga kuya.,1,obj,1,0,0,0
Si eta kuliah na sibuk,Si eta kuliah na santai.,0,Si eta kuliah siga nu teu kantos bobo,1,soc,0,0,1,0
Si eta kuliah na sibuk,Si eta kuliah na santai.,1,Si eta kuliah siga nu teu aya beban.,1,soc,0,0,1,0
Masakan na awon,Masakan na ngeunah.,0,Masakanna kawas nu hoyong geura nikah,1,cul,0,0,0,1
Masakan na awon,Masakan na ngeunah.,1,Masakanna kawas nu boga resto ageung.,1,cul,0,0,0,1
Hawa na tiis,Hawa na panas.,0,Hawa na siga di leuweung,1,soc,0,0,1,0
Hawa na tiis,Hawa na panas.,1,Hawa na siga di pasar.,1,cul,0,0,0,1
Kaayaan ayeuna awon,Kaayaan ayeuna alus.,0,Kaayaan ayeuna kawas loba dosa,1,cul,0,0,0,1
Kaayaan ayeuna awon,Kaayaan ayeuna alus.,1,Kaayaan ayeuna kawas loba pahala.,1,cul,0,0,0,1
Hujan na lebat,Hujan na tiiseun.,0,Hujanna kawas cai ngagubrag,1,obj,1,0,0,0
Hujan na lebat,Hujan na tiiseun.,1,Hujanna kawas cai ceret.,1,obj,1,0,0,0
