ending1,ending2,labels,startphrase,valid,category,obj,vis,soc,cul
Salaki na kedul,Salaki na rajin.,0,Salaki na kawas Kabayan,1,cul,0,0,0,1
Salaki na kedul,Salaki na rajin.,1,Salaki na kawas Nyi Iteung.,1,cul,0,0,0,1
Budak na kurus,Budak na gendut.,0,Budak na siga nu dipoe ti isuk nepi peuting,1,obj,1,0,0,0
Budak na kurus,Budak na gendut.,1,Budak na siga nu dihuapan sapopoe.,1,obj,1,0,0,0
Hirup teh loba tantangan,Hirup teh teu aya tantangan.,0,Hirup teh kawas meuntas atas benang,1,vis,0,1,0,0
Hirup teh loba tantangan,Hirup teh teu aya tantangan.,1,Hirup teh kawas leumpang dina jalan lega.,1,vis,0,1,0,0
Keneh isuk tos panas,Keneh isuk keneh tiis.,0,Keneh isuk ngan siga panonpoe geus mencrang wae,1,soc,0,0,1,0
Keneh isuk tos panas,Keneh isuk keneh tiis.,1,Keneh isuk ngan siga moal aya deui panonpoe.,1,soc,0,0,1,0
Ngabaturan si eta unggal poe loba masalah,Ngabaturan si eta unggal poe euweuh masalah.,0,Ngabaturan si eta unggal poe siga keur aya perang wae,1,soc,0,0,1,0
Ngabaturan si eta unggal poe loba masalah,Ngabaturan si eta unggal poe euweuh masalah.,1,Ngabaturan si eta unggal poe siga boga asisten sagala tiasa.,1,soc,0,0,1,0
Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,0,Kakolot undak unduk na siga malin kundang,1,cul,0,0,0,1
Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,1,Kakolot undak unduk na siga lukman hakim.,1,cul,0,0,0,1
Budak ayeuna mung gawe lambat,Budak ayeuna mung gawe geusit.,0,Budak ayeuna mung gawe kawas kebo,1,obj,1,0,0,0
Budak ayeuna mung gawe lambat,Budak ayeuna mung gawe geusit.,1,Budak ayeuna mung gawe kawas peucang.,1,obj,1,0,0,0
Milarian artos rajin,Milarian artos nyalse.,0,Milarian artos siga nu moal waka gugah deui,1,soc,0,0,1,0
Milarian artos rajin,Milarian artos nyalse.,1,Milarian artos siga artos ngagolosor ti langit.,1,soc,0,0,1,0
Mie na beukah sae,Mie na beukah teu tangtu.,0,Mie na beukah kawas kembang aromanis,1,cul,0,0,0,1
Mie na beukah sae,Mie na beukah teu tangtu.,1,Mie na beukah kawas adonan buyatak.,1,vis,0,1,0,0
Bumi na beresih pisan,Bumi na buladig.,0,Bumi na siga nu teu aya cucunguk sahiji-hiji acan,1,vis,0,1,0,0
Bumi na beresih pisan,Bumi na buladig.,1,Bumi na siga sarang na cucunguk.,1,vis,0,1,0,0
Sakola na ka bumi tebih,Sakola na ka bumi caket.,0,Sakola na ka bumi siga ti kulon ka wetan,1,vis,0,1,0,0
Sakola na ka bumi tebih,Sakola na ka bumi caket.,1,Sakola na ka bumi siga ukur salengkah.,1,vis,0,1,0,0
Pangaos cocoan si ade awis,Pangaos cocoan si ade mirah.,0,Pangaos cocoan si ade siga pangaos imah jeung sawah,1,cul,0,0,0,1
Pangaos cocoan si ade awis,Pangaos cocoan si ade mirah.,1,Pangaos cocoan si ade siga cimol tilu siki.,1,cul,0,0,0,1
Wengi ieu langit na mencrang,Wengi ieu langit na ceudeum.,0,Wengi ieu langit na siga cai herang,1,obj,1,0,0,0
Wengi ieu langit na mencrang,Wengi ieu langit na ceudeum.,1,Wengi ieu langit na siga cai kopi.,1,obj,1,0,0,0
Kasohor na eta artis sagala jalmi uninga,Kasohor na eta artis teu aya jalmi uninga.,0,Kasohor na eta artis siga nu gaduh panghargaan ti seeuer nagara,1,soc,0,0,1,0
Kasohor na eta artis sagala jalmi uninga,Kasohor na eta artis teu aya jalmi uninga.,1,Kasohor na eta artis siga nu teu aya internet wae.,1,soc,0,0,1,0
Hasil melak na loba,Hasil melak na saeutik.,0,Hasil melak na kawas kali keur banjir,1,obj,1,0,0,0
Hasil melak na loba,Hasil melak na saeutik.,1,Hasil melak na kawas kali keur saat.,1,obj,1,0,0,0
Nu lalajo di stadion kamari rame,Nu lalajo di stadion kamari sepi.,0,Nu lalajo di stadion kamari siga budak leutik,1,soc,0,0,1,0
Nu lalajo di stadion kamari rame,Nu lalajo di stadion kamari sepi.,1,Nu lalajo di stadion kamari siga nu karolot kabeh.,1,soc,0,0,1,0
Beuki ka dieu pamarentah beuki korup,Beuki ka dieu pamarentah beuki ngaalusan.,0,Beuki ka dieu pamarentah teh siga beurit dina lumbung pare,1,cul,0,0,0,1
Beuki ka dieu pamarentah beuki korup,Beuki ka dieu pamarentah beuki ngaalusan.,1,Beuki ka dieu pamarentah teh siga pare nu geus asak.,1,cul,0,0,0,1
Sanajan loba masalah maneh na pantang nyerah,Sanajan loba masalah maneh na gampil nyerah.,0,Sanajan loba masalah manehna siga jukut di leuweung,1,obj,1,0,0,0
Sanajan loba masalah maneh na pantang nyerah,Sanajan loba masalah maneh na gampil nyerah.,1,Sanajan loba masalah manehna siga kembang katewak angin.,1,obj,1,0,0,0
Ngalereskeun ieu mesin hese,Ngalereskeun ieu mesin gampil.,0,Ngalereskeun ieu mesin siga nu keur operasi jantung,1,soc,0,0,1,0
Ngalereskeun ieu mesin hese,Ngalereskeun ieu mesin gampil.,1,Ngalereskeun ieu mesin siga ngalereskeun cocoan budak.,1,soc,0,0,1,0
Asep lumpatna gancang,Asep lumpatna lila.,0,Asep lumpatna kawas uncal,1,obj,1,0,0,0
Asep lumpatna gancang,Asep lumpatna lila.,1,Asep lumpatna kawas keong.,1,obj,1,0,0,0
Si Iwan kasohor lantaran kasep,Si Iwan kasohor lantaran goreng.,0,Si Iwan kasohor lantaran siga foto model,1,vis,0,1,0,0
Si Iwan kasohor lantaran kasep,Si Iwan kasohor lantaran goreng.,1,Si Iwan kasohor lantaran siga foto modol.,1,vis,0,1,0,0
Mun jadi jalmi ulah sok kedul,Mun jadi jalmi ulah sok getol.,0,Mun jadi jalmi ulah sok beurat birit,1,cul,0,0,0,1
Mun jadi jalmi ulah sok kedul,Mun jadi jalmi ulah sok getol.,1,Mun jadi jalmi ulah sok hampang birit.,1,cul,0,0,0,1
Hirup teh sulit,Hirup teh gampil.,0,Hirup teh kawas leumpang di gigir gawir,1,soc,0,0,1,0
Hirup teh sulit,Hirup teh gampil.,1,Hirup teh kawas lumpat di lapang.,1,soc,0,0,1,0
Meuli hp mahal,Meuli hp murah.,0,Meuli hp saharga imah gedongan,1,obj,1,0,0,0
Meuli hp mahal,Meuli hp murah.,1,Meuli hp saharga rorompok gubuk.,1,obj,1,0,0,0
Omongan Pak Ustad amis,Omongan Pak Ustad pait.,0,Omongan Pak Ustad kawas gula dina enteh,1,obj,1,0,0,0
Omongan Pak Ustad amis,Omongan Pak Ustad pait.,1,Omongan Pak Ustad kawas kopi hideung.,1,obj,1,0,0,0
Ieu kabar ngareuwaskeun,Ieu kabar nenangkeun.,0,Ieu kabar umpama hujan bentar,1,soc,0,0,1,0
Ieu kabar ngareuwaskeun,Ieu kabar nenangkeun.,1,Ieu kabar umpama angin ngahiliwir.,1,soc,0,0,1,0
Kulit Siti mulus,Kulit Siti korodok.,0,Kulit Siti kos bujur orok,1,obj,1,0,0,0
Kulit Siti mulus,Kulit Siti korodok.,1,Kulit Siti kos careuh bulan.,1,obj,1,0,0,0
Sikap anjeunna tiis,Sikap anjeunna haneut.,0,Sikap anjeunna siga es batu,1,obj,1,0,0,0
Sikap anjeunna tiis,Sikap anjeunna haneut.,1,Sikap anjeunna siga susu botol jang orok.,1,obj,1,0,0,0
Adi lanceuk teh kalakuan teu akur,Adi lanceuk teh kalakuan akur.,0,Adi lanceuk teh kalakuan kos anjing jeung ucing,1,obj,1,0,0,0
Adi lanceuk teh kalakuan teu akur,Adi lanceuk teh kalakuan akur.,1,Adi lanceuk teh kalakuan kos jalak jeung kebo.,1,cul,0,0,0,1
Boga kabogoh teh sikapna wanian,Boga kabogoh teh sikapna eraan.,0,Boga kabogoh teh sikapna kos maung,1,obj,1,0,0,0
Boga kabogoh teh sikapna wanian,Boga kabogoh teh sikapna eraan.,1,Boga kabogoh teh sikapna kos kukang.,1,obj,1,0,0,0
Lanceuk abdi awakna begang,Lanceuk abdi awakna buleud.,0,Lanceuk abdi awakna sapertos nyere,1,obj,1,0,0,0
Lanceuk abdi awakna begang,Lanceuk abdi awakna buleud.,1,Lanceuk abdi awakna sapertos gajah.,1,obj,1,0,0,0
Gawe teh ngabagjakeun,Gawe teh hanjelu.,0,Gawe teh umpama nginum cai sirop,1,obj,1,0,0,0
Gawe teh ngabagjakeun,Gawe teh hanjelu.,1,Gawe teh umpama nginum peresan limo.,1,obj,1,0,0,0
Sora manehna merdu,Sora manehna gandeng.,0,Sora manehna kawas kicau manuk dadali,1,obj,1,0,0,0
Sora manehna merdu,Sora manehna gandeng.,1,Sora manehna kawas hujan geledek.,1,obj,1,0,0,0
Awak manehna meuni seungit,Awak manehna meuni bau.,0,Awak manehna meuni kawas mawar bodas,1,obj,1,0,0,0
Awak manehna meuni seungit,Awak manehna meuni bau.,1,Awak manehna meuni kawas kembang bangke.,1,obj,1,0,0,0
Ponten rapor kuring goreng,Ponten rapor kuring alus.,0,Ponten rapor kuring umpama beureum getih,1,vis,0,1,0,0
Ponten rapor kuring goreng,Ponten rapor kuring alus.,1,Ponten rapor kuring umpama biru langit.,1,vis,0,1,0,0
Ditolak manehna meuni nyeri,Ditolak manehna meuni gumbira.,0,Ditolak manehna umpama hate dikeureut peso,1,soc,0,0,1,0
Ditolak manehna meuni nyeri,Ditolak manehna meuni gumbira.,1,Ditolak manehna umpama taman pinuh ku kembang.,1,soc,0,0,1,0
Omongan manehna robah-robah,Omongan manehna ajeg.,0,Omongan manehna kawas cai di daun taleus,1,cul,0,0,0,1
Omongan manehna robah-robah,Omongan manehna ajeg.,1,Omongan manehna kawas tangkal beringin.,1,cul,0,0,0,1
Kosan rerencangan abdi lega,Kosan rerencangan abdi heurin.,0,Kosan rerencangan abdi sapertos lapangan bola,1,obj,1,0,0,0
Kosan rerencangan abdi lega,Kosan rerencangan abdi heurin.,1,Kosan rerencangan abdi sapertos liang sireum.,1,obj,1,0,0,0
Cicing di imah teh teu betah,Cicing di imah teh betah.,0,Cicing di imah teh kos cicing di neraka,1,cul,0,0,0,1
Cicing di imah teh teu betah,Cicing di imah teh betah.,1,Cicing di imah teh kos cicing di taman firdaus.,1,cul,0,0,0,1
Ngaharep balesan manehna mustahil,Ngaharep balesan manehna teu kudu usaha.,0,Ngaharep balesan manehna ibarat ngajarkeun lauk naek tangkal,1,obj,1,0,0,0
Ngaharep balesan manehna mustahil,Ngaharep balesan manehna teu kudu usaha.,1,Ngaharep balesan manehna ibarat ngajarkeun monyet naek tangkal.,1,obj,1,0,0,0
Milarian padamelan ayeuna mah sesah,Milarian padamelan ayeuna mah gampil.,0,Milarian padamelan ayena mah sapertos milarian bintang di beurang copong,1,soc,0,0,1,0
Milarian padamelan ayeuna mah sesah,Milarian padamelan ayeuna mah gampil.,1,Milarian padamelan ayena mah sapertos milarian lauk di sagara.,1,soc,0,0,1,0
"Hoyong seueur acis, tapi teu damel teh mustahil","Hoyong seueur acis, tapi teu damel teh mungkin wae.",0,"Hoyong seueur acis, tapi teu damel tes sapertos ngajarkeun lauk naek tangkal",1,obj,1,0,0,0
"Hoyong seueur acis, tapi teu damel teh mustahil","Hoyong seueur acis, tapi teu damel teh mungkin wae.",1,"Hoyong seueur acis, tapi teu damel tes sapertos ngajarkeun monyet renang.",1,obj,1,0,0,0
Abdi sareung anjeuna jauh bedana,Abdi sareung anjeuna eweuh bedana.,0,Abdi sareung anjeuna kawas langit jeung bumi,1,obj,1,0,0,0
Abdi sareung anjeuna jauh bedana,Abdi sareung anjeuna eweuh bedana.,1,Abdi sareung anjeuna kawas monyet jeung kera.,1,obj,1,0,0,0
Diajar matematika sesah,Diajar matematika gampil.,0,Diajar matematika umpama diajar maca jang budak SMA,1,cul,0,0,0,1
Diajar matematika sesah,Diajar matematika gampil.,1,Diajar matematika umpama diajar maca jang budak TK.,1,cul,0,0,0,1
Kue damelan umi abdi raos,Kue damelan umi abdi teu raos.,0,Kue damelan umi abdi saraos kue toko,1,obj,1,0,0,0
Kue damelan umi abdi raos,Kue damelan umi abdi teu raos.,1,Kue damelan umi abdi saraos kue basi.,1,obj,1,0,0,0
Pun bapa kuat,Pun bapa lemah.,0,Pun bapa tanagana kawas samson,1,cul,0,0,0,1
Pun bapa kuat,Pun bapa lemah.,1,Pun bapa tanagana kawas budak sd.,1,cul,0,0,0,1
Acuk lebaran teh sae,Acuk lebaran teh butut.,0,Acuk lebaran teh sarupa acuk damelan designer kasohor,1,soc,0,0,1,0
Acuk lebaran teh sae,Acuk lebaran teh butut.,1,Acuk lebaran teh sarupa acuk tukang pulung.,1,soc,0,0,1,0
Teu nyangka rayi abdi jangkung,Teu nyangka rayi abdi pondok.,0,Teu nyangka rayi abdi sajangkung buto ijo,1,cul,0,0,0,1
Teu nyangka rayi abdi jangkung,Teu nyangka rayi abdi pondok.,1,Teu nyangka rayi abdi sajangkung ucok baba.,1,cul,0,0,0,1
Ngarantau nyenengkeun,Ngarantau sieun.,0,Ngarantau ibarat jalan-jalan ka nagari nu endah kacipta,1,vis,0,1,0,0
Ngarantau nyenengkeun,Ngarantau sieun.,1,Ngarantau ibarat jalan-jalan ka leuweung nu loba jurigna.,1,vis,0,1,0,0
Bobogohan lima taun jeung manehna nyusahkeun,Bobogohan lima taun jeung manehna nyenengkeun.,0,Bobogah lima taun jeung manehna kawas naek kapal di laut nu loba badaina,1,soc,0,0,1,0
Bobogohan lima taun jeung manehna nyusahkeun,Bobogohan lima taun jeung manehna nyenengkeun.,1,Bobogah lima taun jeung manehna kawas naek kapal di lautan biru nan endah.,1,soc,0,0,1,0
Jaket maneh butut,Jaket maneh alus.,0,Jaket maneh naha siga tukang ojek,1,cul,0,0,0,1
Jaket maneh butut,Jaket maneh alus.,1,Jaket maneh naha siga jaket artis.,1,obj,1,0,0,0
Acuk seuseuhan abdi mah beresih,Acuk seuseuhan abdi mah kotor.,0,Acuk seuseuhan abdi mah sapertos acuk anyar,1,obj,1,0,0,0
Acuk seuseuhan abdi mah beresih,Acuk seuseuhan abdi mah kotor.,1,Acuk seuseuhan abdi mah sapertos acuk jalmi beres nguli.,1,obj,1,0,0,0
Budak rerencangan abdi irungna mancung,Budak rerencangan abdi irungna pesek.,0,Budak rerencangan abdi irungnya samancung orang arab,1,obj,1,0,0,0
Budak rerencangan abdi irungna mancung,Budak rerencangan abdi irungna pesek.,1,Budak rerencangan abdi irungnya samancung jalmi nu beres nyusruk.,1,obj,1,0,0,0
Pindah bumi nyedihkeun,Pindah bumi nyenengkeun.,0,Pindah bumi ibarat kaleungitan dompet,1,soc,0,0,1,0
Pindah bumi nyedihkeun,Pindah bumi nyenengkeun.,1,Pindah bumi ibarat manggihan dompet.,1,soc,0,0,1,0
Buku di bumi rerencangan abdi seueur,Buku di bumi rerencangan abdi hiji atawa sakedik.,0,Buku di bumi rerencangan abdi kawas perpustakaan,1,soc,0,0,1,0
Buku di bumi rerencangan abdi seueur,Buku di bumi rerencangan abdi hiji atawa sakedik.,1,Buku di bumi rerencangan abdi kawas jumlah kolot na budak yatim.,1,soc,0,0,1,0
Naek kareta ekonomi teu enakeun,Naek kareta ekonomi enakeun.,0,Naek kareta ekonomi sarupa calik dina korsi papan,1,obj,1,0,0,0
Naek kareta ekonomi teu enakeun,Naek kareta ekonomi enakeun.,1,Naek kareta ekonomi sarupa calik dina sofa busa.,1,obj,1,0,0,0
Ukuran suku maneh meuni gede,Ukuran suku maneh meuni leutik.,0,Ukuran suku maneh meuni jiga raksasa,1,obj,1,0,0,0
Ukuran suku maneh meuni gede,Ukuran suku maneh meuni leutik.,1,Ukuran suku maneh meuni jiga cebol.,1,obj,1,0,0,0
Basa inggris maneh lancar,Basa inggris maneh balelol.,0,Basa inggris maneh geus saalus bule,1,soc,0,0,1,0
Basa inggris maneh lancar,Basa inggris maneh balelol.,1,Basa inggris maneh geus saalus budak nu karak diajar ngomong.,1,soc,0,0,1,0
Carita nini abdi rame tur alus,Carita nini abdi butut.,0,Carita nini abdi kawas carita pelem-pelem di bioskop,1,soc,0,0,1,0
Carita nini abdi rame tur alus,Carita nini abdi butut.,1,Carita nini abdi kawas carita nu nyieun sare.,1,soc,0,0,1,0
Minyak goreng ayeuna mahal,Minyak goreng ayeuna mirah.,0,Minyak goreng ayeuna geus saharga imah,1,soc,0,0,1,0
Minyak goreng ayeuna mahal,Minyak goreng ayeuna mirah.,1,Minyak goreng ayeuna geus saharga kacang.,1,soc,0,0,1,0
Cai sumur ayeuna kiruh,Cai sumur ayeuna herang.,0,Cai sumur ayeuna mah kos cai kopi,1,obj,1,0,0,0
Cai sumur ayeuna kiruh,Cai sumur ayeuna herang.,1,Cai sumur ayeuna mah kos cai aqua.,1,obj,1,0,0,0
Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,0,Ngadangu carita anjeun mah kawas ngimpi labuh ka gawir,1,soc,0,0,1,0
Ngadangu carita anjeun mah ngareuwaskeun,Ngadangu carita anjeun mah nyenengkeun.,1,Ngadangu carita anjeun mah kawas ngimpi naek ferrari.,1,soc,0,0,1,0
Hirup teu boga elmu teu jelas,Hirup teu boga elmu jelas.,0,Hirup teu boga elmu sarupa leumpang teu aya tujuan,1,soc,0,0,1,0
Hirup teu boga elmu teu jelas,Hirup teu boga elmu jelas.,1,Hirup teu boga elmu sarupa leumpang sapanjang jalan nu loba lampuna.,1,soc,0,0,1,0
Pertanyaan si bapa bermutu tur sesah,Pertanyaan si bapa teu bermutu.,0,Pertanyaan si bapa teh meuni kos tts kompas,1,cul,0,0,0,1
Pertanyaan si bapa bermutu tur sesah,Pertanyaan si bapa teu bermutu.,1,Pertanyaan si bapa teh meuni kos pertanyaan budak.,1,soc,0,0,1,0
Lamun keur belajar naha panon teh tunduh,Lamun keur belajar naha panon teh beunta.,0,Lamun keur belajar naha nya panon teh kawas teu sare 3 poe,1,soc,0,0,1,0
Lamun keur belajar naha panon teh tunduh,Lamun keur belajar naha panon teh beunta.,1,Lamun keur belajar naha nya panon teh kawas karak ngadahar mangga ngora.,1,soc,0,0,1,0
Kunaon atuh eta seragam teh risek,Kunaon atuh eta seragam teh licin.,0,Kunaon atuh eta seragam teh jiga can meunang nyetrika,1,cul,0,0,0,1
Kunaon atuh eta seragam teh risek,Kunaon atuh eta seragam teh licin.,1,Kunaon atuh eta seragam teh jiga baju ti londri.,1,cul,0,0,0,1
Hirup abdi mah hitam putih tur monoton,Hirup abdi mah loba warnana.,0,Hirup abdi mah kawas tv baheula,1,obj,1,0,0,0
Hirup abdi mah hitam putih tur monoton,Hirup abdi mah loba warnana.,1,Hirup abdi mah kawas tv jaman kiwari.,1,obj,1,0,0,0
Buruan tatanga luas,Buruan tatanga heurin.,0,Buruan tatangga teh meuni saluas lapangan bola,1,vis,0,1,0,0
Buruan tatanga luas,Buruan tatanga heurin.,1,Buruan tatangga teh meuni saluas wc kareta.,1,vis,0,1,0,0
Gambar rayi abdi hade,Gambar rayi abdi butut.,0,Gambar rayi abdi layak umpama gambar nu meunang ponten 100,1,soc,0,0,1,0
Gambar rayi abdi hade,Gambar rayi abdi butut.,1,Gambar rayi abdi layak umpama gambar nu meunang ponten F.,1,soc,0,0,1,0
Chat jeung manehna mah teu jelas,Chat jeung manehna mah jelas.,0,Chat jeung manehna mah kawas ngobrol pas keur diboceng tukang ojek,1,soc,0,0,1,0
Chat jeung manehna mah teu jelas,Chat jeung manehna mah jelas.,1,Chat jeung manehna mah kawas guru nerangkeun di kelas.,1,soc,0,0,1,0
Tulisan budak teh acak-acakan,Tulisan budak teh rapi.,0,Tulisan budak teh meuni jiga cakar hayam,1,cul,0,0,0,1
Tulisan budak teh acak-acakan,Tulisan budak teh rapi.,1,Tulisan budak teh meuni jiga hasil ngeprint.,1,cul,0,0,0,1
Elmu agama caang tur nuntun,Elmu agama poek.,0,Elmu agama kawas senter caang kanggo mapay jalan wengi,1,obj,1,0,0,0
Elmu agama caang tur nuntun,Elmu agama poek.,1,Elmu agama kawas gudang nu eweuh lampuan.,1,obj,1,0,0,0
Lapang Padjajaran alus tur rapi,Lapang Padjajaran butut tur balatak.,0,Lapang Padjajaran kos lapang bola piala dunia,1,soc,0,0,1,0
Lapang Padjajaran alus tur rapi,Lapang Padjajaran butut tur balatak.,1,Lapang Padjajaran kos lapang di kandang kuda.,1,soc,0,0,1,0
Cai Dieng tiis,Cai Dieng panas.,0,Cai Dieng sapertos cai es,1,obj,1,0,0,0
Cai Dieng tiis,Cai Dieng panas.,1,Cai Dieng sapertos cai termos.,1,obj,1,0,0,0
Ngendong sawengi ge bawaan teh seueur,Ngendong sawengi ge bawaan teh teu aya.,0,Ngendong sawengi ge bawaan teh kawas jalmi nu bade pindahan,1,soc,0,0,1,0
Ngendong sawengi ge bawaan teh seueur,Ngendong sawengi ge bawaan teh teu aya.,1,Ngendong sawengi ge bawaan teh kawas jalmi teu gaduh acuk.,1,soc,0,0,1,0
Acuk rerencangan abdi katutup,Acuk rerencangan abdi kabuka.,0,Acuk rerencangan abdi sapertos bu haji,1,cul,0,0,0,1
Acuk rerencangan abdi katutup,Acuk rerencangan abdi kabuka.,1,Acuk rerencangan abdi sapertos awewe nu arek mangkal.,1,cul,0,0,0,1
Kahayang abdi mah seueur,Kahayang abdi mah saalit.,0,Kahayang abdi mah sagede truk,1,obj,1,0,0,0
Kahayang abdi mah seueur,Kahayang abdi mah saalit.,1,Kahayang abdi mah sagede keresek indomaret.,1,obj,1,0,0,0
Tutumbenan masakan dinten ieu raos pisan,Tutumbenan masakan dinten ieu teu raos.,0,Tutumbenan masakan dinten ieu kawas masakan hotel bintang lima,1,soc,0,0,1,0
Tutumbenan masakan dinten ieu raos pisan,Tutumbenan masakan dinten ieu teu raos.,1,Tutumbenan masakan dinten ieu kawas masakan sesa minggu kamari.,1,soc,0,0,1,0
Kaca di kamar abdi meuni alit,Kaca di kamar abdi meuni ageung.,0,Kaca di kamar abdi meuni sagede kaca spion,1,obj,1,0,0,0
Kaca di kamar abdi meuni alit,Kaca di kamar abdi meuni ageung.,1,Kaca di kamar abdi meuni sagede almari tilu panto.,1,obj,1,0,0,0
Akuarium hotel ieu ageung,Akuarium hotel ieu alit.,0,Akuarium hotel ieu meuni saageung sea world,1,obj,1,0,0,0
Akuarium hotel ieu ageung,Akuarium hotel ieu alit.,1,Akuarium hotel ieu meuni saageung keler kue.,1,obj,1,0,0,0
