startphrase,ending1,ending2,labels,x,y,z
life like a shell cage,live like a grandfather,live like free.,0,a shell cage,,shell
life is like falling leg hair.,live like a grandfather,live like free.,1,life,is like,falling leg hair
so the person should have mild diarrhea,so people must be diligent,so people should be lazy.,0,the person,should have,mild diarrhea
so the person must have diarrhea.,so people must be diligent,so people should be lazy.,1,the person,must have,diarrhea
Mamat runs like a moose,mamat ran as fast as he could,mamat ran as if slowly.,0,Mamat,runs like,a moose
Mamat runs like a turtle.,mamat ran as fast as he could,mamat ran as if slowly.,1,Mamat,runs like,a turtle
life must have an attitude,life must have a stand,life must have a plan.,0,life,must have,an attitude
life must have here and there.,life must have a stand,life must have a plan.,1,life,must have,here and there
I'm always digging and needing to talk,so people should be honest,so people must be stupid.,0,I,'m,always
I always jump slippery.,so people should be honest,so people must be stupid.,1,I,always jump,slippery
Mom said to be a good person you have to be nice to everyone,said mother to be a person should be friendly,said mother to be a person should be judes.,0,Mom,said to be a good person you have to be nice to,everyone
Mom said to be a person you have to be good.,said mother to be a person should be friendly,said mother to be a person should be judes.,1,Mom,said to be a person,you
that person's lips are itchy,he just said it,he just stayed silent.,0,that person 's lips,are,itchy
It's like he's been stepped on.,he just said it,he just stayed silent.,1,It,'s like,he
if you think you should take a short step,if you think you should not think long,if you think you have to think far away.,0,you,,you
if you think it should be a long step.,if you think you should not think long,if you think you have to think far away.,1,you,think,it
that boy is not meer,the boy is about to cry,that boy is brave.,0,that boy,is not,meer
that boy is a joke.,the boy is about to cry,that boy is brave.,1,that boy,is,a joke
if people have thick skin,people if they don't have kaera,"if people are angry, they should be left alone.",0,people,have,thick skin
people who are shy should be left alone.,people if they don't have kaera,"if people are angry, they should be left alone.",1,people who are shy,,who
si Udin is a person with a tail,si Udin is a lazy person,Udin is a person who likes to share.,0,si,Udin is a person with,a tail
Udin is a generous person.,si Udin is a lazy person,Udin is a person who likes to share.,1,Udin,is,a generous person
Iis is sweet meat,Iis is easy to get sick,Iis is not easy to get sick.,0,Iis,is,sweet meat
Iis is a bone axe.,Iis is easy to get sick,Iis is not easy to get sick.,1,Iis,is,a bone axe
sasa tea is usually sweet,sasa is usually friendly,sasa tea is usually judes.,0,sasa tea,is usually,sweet
the time is usually sour.,sasa is usually friendly,sasa tea is usually judes.,1,the time,is usually,sour
"if you want to borrow money, you have to use hot money","if you want to borrow money, you have to use money that you don't win, usually other than personal money","if you want to borrow money, you have to use personal money that will not be used.",0,you,,you
"if you want to borrow money, you must use cold money.","if you want to borrow money, you have to use money that you don't win, usually other than personal money","if you want to borrow money, you have to use personal money that will not be used.",1,you,,you
people today are always on the side of the water,People today are always afraid to change their words or promises,People today always stick to their words or promises.,0,people,today are always on,the side of the water
people today are always stone sideways.,People today are always afraid to change their words or promises,People today always stick to their words or promises.,1,people,today are always stone,sideways
if my business is sure to be thick wallet,if my business is sure to be a lot of money,if my business is definitely not money.,0,my business,is,sure to be thick wallet
"if it's a business, it's definitely going to be kokoro nyoso.",if my business is sure to be a lot of money,if my business is definitely not money.,1,it,,it
nothing won't win if you don't like it,nothing won't win if it is too much if it is too much,nothing won't win if it's too much if it's too much to forget about yourself.,0,nothing,wo n't win if,you
nothing won't win if it's too much.,nothing won't win if it is too much if it is too much,nothing won't win if it's too much if it's too much to forget about yourself.,1,nothing,wo n't win if,it
so the person can sometimes become a flower,so people can sometimes be annoying,so people can be annoying sometimes.,0,the person,can sometimes become,a flower
so people can sometimes become uni tai.,so people can sometimes be annoying,so people can be annoying sometimes.,1,people,can sometimes become,uni tai
"people are divided into two, that is, wening galih","people are divided into two, namely those who have a clean heart","people are divided into two, that is the bad hate, envy, envy.",0,people,are divided into,"two ,"
"people are divided into two, that is the one with a hard heart.","people are divided into two, namely those who are clean of heart","people are divided into two, that is the bad hate, envy, envy.",1,people,"are divided into two , that is the one with",a hard heart
must be careful to choose a partner in case it becomes a needle stick,must be careful to choose a partner in case it becomes a woman who runs out of wealth,must be careful to choose a partner in case it becomes a man who runs out of wealth.,0,case,,it
must be careful to choose a partner in case it becomes a tea pot pot.,must be careful to choose a partner in case it becomes a woman who runs out of wealth,must be careful to choose a partner in case it becomes a man who runs out of wealth.,1,case,,it
Bina is a golden child,Bina is a beloved child,Bina is my cousin.,0,Bina,is,a golden child
Bina is your son.,Bina is a beloved child,Bina is my cousin.,1,Bina,is,your son
the child must be ready,the child must be well educated,the child must be poorly educated.,0,the child,must be,ready
the child must be sold raw.,the child must be well educated,the child must be poorly educated.,1,,,
don't be a stupid kid,don't be a stupid boy but don't want to ask,don't be a stupid boy but be willing to ask.,0,stupid,,a stupid kid
don't be a stupid boy.,don't be a stupid boy but don't want to ask,don't be a stupid boy but be willing to ask.,1,stupid,,a stupid boy
"to become a husband, you have to break your bones",being a husband should be forgotten,so the husband must not be able to work.,0,you,have to break,your bones
to be a husband must be big and talkative.,being a husband should be forgotten,so the husband must not be able to work.,1,a husband,must be,big and talkative
Dewi is a humble girl,Dewi is a girl who is not arrogant,Dewi is a proud girl.,0,Dewi,is,a humble girl
Dewi is a big girl.,Dewi is a girl who is not arrogant,Dewi is a proud girl.,1,Dewi,is,a big girl
"said that if you become a woman, you must look like a king's daughter",I said if you are a woman you have to be graceful,"I said that if you are a woman, you must look bad.",0,you,"become a woman , you must look like",a king 's daughter
"I said that if you are a woman, you should look like an attached mother.",I said if you are a woman you have to be graceful,"I said that if you are a woman, you must look bad.",1,I,"said that if you are a woman , you should look like",an attached mother
today the weather looks like you can fry fish on the asphalt,today the weather is very hot,today the weather is like rain and wind.,0,the weather,looks like you can fry fish on,the asphalt
"today the weather is like rain, wind and darkness.",today the weather is very hot,today the weather is like rain and wind.,1,the weather,is like,"rain , wind and darkness"
the rain seems to invite me to fight,the rain is heavy and heavy,the rain is quiet and gentle.,0,the rain,seems to invite,me
the rain is like cold ears.,the rain is heavy and heavy,the rain is quiet and gentle.,1,the rain,is like,cold ears
"He is strong, not weak","he is strong, he doesn't get sick easily","he is not strong, he is not healthy.",0,He,is,"strong , not weak"
"that person is strong, not like Jagjag waringkas.","he is strong, he doesn't get sick easily","he is not strong, he is not healthy.",1,that person,"is strong , not like",Jagjag waringkas
"I'm still a boy, let me be a garden flower","I'm still a boy, I have to be a boy who sucks","I'm still a boy, I have to be locked up.",0,I,"'m still a boy , let",me
I'm still a boy.,"I'm still a boy, I have to be a boy who sucks","I'm still a boy, I have to be locked up.",1,I,'m still,a boy
Sometimes life can be a fragrant flower,Sometimes life can seem happy,Sometimes life can be unhappy.,0,life,can be,a fragrant flower
Sometimes life can be a bad smell.,Sometimes life can seem happy,Sometimes life can be unhappy.,1,life,can be,a bad smell
Don't use the blade on the battered umbrella,Don't worry about what you have now,Don't worry about the wealth you have now.,0,the battered umbrella,,the blade
Do not go to the house.,Don't worry about what you have now,Don't worry about the wealth you have now.,1,,,
People can be water,People can be calm,People can be busy.,0,People,can be,water
The person can be a fire.,People can be calm,People can be busy.,1,The person,can be,a fire
Life should be able to be a stone,Life should be able to have an opinion,Life should be able to plan.,0,Life,should be,able to be a stone
Life should be able to be a sumaer bamboo in the sand.,Life should be able to have an opinion,Life should be able to plan.,1,Life,should be able to be a sumaer bamboo in,the sand
So kids don't step upstream,So kids don't be rude,So boys don't be polite.,0,kids,do n't step,upstream
So children should not speak well.,So kids don't be rude,So boys don't be polite.,1,children,should not speak,well
my life is just hahay,my life is just fun,my life is just sad.,0,my life,is,just hahay
my life is just a dream.,my life is just fun,my life is just sad.,1,my life,is,just a dream
Please don't measure the same clothes as you,Don't look at others from the outside,please don't go too deep.,0,you,ase do n't measure,the same clothes
please don't measure clothes and fabrics.,Don't look at others from the outside,please don't go too deep.,1,,,
the skin is like a banana shell,the skin is yellow in color,the skin is brown in color.,0,the skin,is like,a banana shell
the color of the skin is like cooked sawo.,the skin is yellow in color,the skin is brown in color.,1,the color of the skin,is like,cooked sawo
"if there's a problem, life feels like a mess","if there's a problem, life feels like it's not going smoothly","if there is a problem, life seems to be smooth.",0,life,feels like,a mess
"if there is a problem, life feels like a toll road.","if there's a problem, life feels like it's not going smoothly","if there is a problem, life seems to be smooth.",1,life,feels like,a toll road
so the girl will come back as soon as the sun comes up,so the girl will come back as soon as you come in the morning,so the girl came back at night.,0,the girl,will come back as soon as,the sun
so the girl will come back as soon as the month comes.,so the girl will come back as soon as you come in the morning,so the girl came back at night.,1,the girl,will come back as soon as,the month
"If you work, you should be able to work together","If you work, you should be compact","If you work, you should be able to each.",0,you,,you
"If you work, you should be able to do it.","If you work, you should be compact","If you work, you should be able to each.",1,you,,you
"Going on vacation, you have to be kind",Going on vacation should be fun,Going on vacation should be regretful.,0,vacation,",",you
Going on vacation should be regretful.,Going on vacation should be fun,Going on vacation should be regretful.,1,vacation,should be,regretful
Life can sometimes be a waste,Life can sometimes be priceless,Life can sometimes be glorified.,0,Life,can sometimes be,a waste
Life can sometimes be gold.,Life can sometimes be priceless,Life can sometimes be glorified.,1,Life,can sometimes be,gold
So that life is very bitter,So that life is a lot of trials,"So that life is full of happiness, you must be able to understand it.",0,that life,is,very bitter
"So that life is full of happiness, you must be able to understand it.",So that life is a lot of trials,"So that life is full of happiness, you must be able to understand it.",1,that life,"is full of happiness ,",you
Talking to him is like an ant,Talk to him slowly,Talking to him is like a joke.,0,him,is like,an ant
Talking to him is like a tiger.,Talk to him slowly,Talking to him is like a joke.,1,him,is like,a tiger
Sometimes people can have thick skin,Sometimes people can't have a sense of humor,Sometimes people can make mistakes.,0,people,can have,thick skin
Sometimes people can have thin skin.,Sometimes people can't have a sense of humor,Sometimes people can make mistakes.,1,people,can have,thin skin
now his hair has become barodas,Now I have become a parent,I'm still young now.,0,his hair,has become,barodas
now his hair has become harideung.,Now I have become a parent,I'm still young now.,1,his hair,has become,harideung
So people don't be hard hearted,So don't be jealous,So people are not kind.,0,people,do n't be,hard hearted
So people don't hate.,So don't be jealous,So people are not kind.,1,people,do n't hate,So
"Now that I'm going to Bandung, it's like a road to water",Now I'm going to Bandung,Now it's a long way to go to Bandung.,0,I,"'m going to Bandung , it 's like",a road to water
"Now that I'm going to Bandung, it's like walking on a trail.",Now I'm going to Bandung,Now it's a long way to go to Bandung.,1,I,"'m going to Bandung , it 's like walking on",a trail
You are a person who is like a rubber band,You are a person who eats a lot,You are a person who likes food.,0,You,are a person who is like,a rubber band
You are a person with a hard stomach.,You are a person who eats a lot,You are a person who likes food.,1,You,are a person with,a hard stomach
His behavior is like a frog locked in a shell,The walk is different,His behavior was wild.,0,His behavior,is like,a frog locked in a shell
His behavior is like a bird being released.,The walk is different,His behavior was wild.,1,His behavior,is like,a bird being released
The fish pond looks like sparkling water,The fish pond is clean,The fish pond is empty.,0,The fish pond,looks like sparkling,water
The fish pond looks like a drain.,The fish pond is clean,The fish pond is empty.,1,The fish pond,looks like,a drain
It looks like a flower,Looks good,It looks ugly.,0,It,looks like,a flower
It looks like a tofu.,Looks good,It looks ugly.,1,It,looks like,a tofu
It sounded like a trumpet,His voice is loud,His voice is slow.,0,It,sounded like,a trumpet
His voice is like a cover.,His voice is loud,His voice is slow.,1,His voice,is like,a cover
Looking for him is like looking for a needle in a field,Finding that person is difficult,Finding him is easy.,0,him,is like looking for,a needle in a field
Looking for him is like looking for a sheep in a chicken coop.,Finding that person is difficult,Finding him is easy.,1,him,is like looking for,a sheep in a chicken coop
Every day he is like being chased by a moneylender,Every day he has many memories,He has no work all day.,0,he,is like being chased by,a moneylender
Every day he is like a man without a wife.,Every day he has many memories,He has no work all day.,1,he,is like,a man without a wife
If you eat like you don't have money,If you eat a lot,If you eat a little.,0,you,,you
If you eat like a lot of money.,If you eat a lot,If you eat a little.,1,you,eat like,a lot of money
His father's advice was like a rock,What is the advice to remember?,What advice do you forget?,0,His father 's advice,was like,a rock
The advice from his father disappeared like dust in the rain.,What is the advice to remember?,What advice do you forget?,1,The advice from his father,disappeared like dust in,the rain
The meat is like tofu,The meat is tender,The meat is hard.,0,The meat,is like,tofu
The flesh is like stone.,The meat is tender,The meat is hard.,1,The flesh,is like,stone
It's like being chased by a dog,Do it quickly,Do it for a long time.,0,It,'s like being chased by,a dog
It's like a snail crossing the road.,Do it quickly,Do it for a long time.,1,It,'s like,a snail crossing the road
Sometimes marriage is like buying a cat in a sack,Sometimes the soulmate is never guessed,Sometimes the soulmate is never guessed.,0,marriage,is like buying a cat in,a sack
Sometimes a mate is like buying herbs in the market.,Sometimes the soulmate is never guessed,Sometimes the soulmate is never guessed.,1,a mate,is like buying herbs in,the market
He looks like he bought it at the mall,The rose is good,The rose is ugly.,0,He,looks like he bought it at,the mall
It looks like it was found in the trash.,The rose is good,The rose is ugly.,1,It,looks like it was found in,the trash
The cow looks like a limousine,The cow is big,The cow is small.,0,The cow,looks like,a limousine
The cow looks like it has worms.,The cow is big,The cow is small.,1,The cow,looks like,it
Just say that there is a knock,Just saying makes me laugh,Just say carefully.,0,Just,say that there is,a knock
Just say like a solo princess.,Just saying makes me laugh,Just say carefully.,1,a solo princess,,Just
He looked like he was still young,Looked at the smell,He looked at the fragrant tea.,0,He,looked like,he
He looked like a seven-rupee flower.,Looked at the smell,He looked at the fragrant tea.,1,He,looked like,a seven - rupee flower
Go to the market as if you want to be invited,To the market a lot of dresses,Do not go to the market.,0,the market,as if,you
Go to the market as if you want to sleep.,To the market a lot of dresses,Do not go to the market.,1,the market,as if,you
His arm was bloody as if he had been hit by a car,There is a lot of blood on his arm,His arm was a little bloody.,0,His arm,was bloody as if he had been hit by,a car
His arm was bloody like a cat's claws.,There is a lot of blood on his arm,His arm was a little bloody.,1,His arm,was bloody like,a cat 's claws
He just cried as if he had a lot of problems,He just cried loudly,He just cried slowly.,0,He,just cried as if he had a lot of,problems
He just cried as if there was no problem.,He just cried loudly,He just cried slowly.,1,He,just cried as if there was,no problem
Someone drives like a grandfather,Someone is driving recklessly,Someone drives carefully.,0,Someone,drives like,a grandfather
Someone is driving as if he is afraid of falling behind.,Someone is driving recklessly,Someone drives carefully.,1,Someone,is driving as if,he
Mango is like honey,Please be sweet,The mango is sour.,0,Mango,is like,honey
Mango is like vinegar.,Please be sweet,The mango is sour.,1,Mango,is like,vinegar
His brother's face is like a toy,His face is in jail,The behavior of his face towards his brother is loving.,0,His brother 's face,is like,a toy
His sister's face is like jewelry.,His face is in jail,The behavior of his face towards his brother is loving.,1,His sister 's face,is like,jewelry
He just said as if he was on fire,Just call for chaos,Just call calmly.,0,He,just said as if he was on,fire
He just said as if he was there.,Just call for chaos,Just call calmly.,1,He,just said as if,he
His face is like arjuna,It's too late,His appearance is ugly.,0,His face,is like,arjuna
His face looks like a chump.,It's too late,His appearance is ugly.,1,His face,looks like,a chump
The college is like no red date,Study diligently,Study as much as you want.,0,The college,is like,no red date
The lecture is like a calendar filled with red dates.,Study diligently,Study as much as you want.,1,The lecture,is like,a calendar filled with red dates
His body is like a teak tree,The body is tips,His body is lethargic.,0,His body,is like,a teak tree
His body is like a papaya tree.,The body is tips,His body is lethargic.,1,His body,is like,a papaya tree
He just ran like a madman,Just run fast,Just run for a long time.,0,He,just ran like,a madman
He just ran like a turtle.,Just run fast,Just run for a long time.,1,He,just ran like,a turtle
That college guy looks like he never sleeps,He is busy in college,The college is relaxed.,0,That college guy,looks like,he
He is in college as if there is no burden.,He is busy in college,The college is relaxed.,1,He,is in,college
It's like you want to get married soon,The food is bad,The food is delicious.,0,It,'s like,you
The food is like the owner of a large restaurant.,The food is bad,The food is delicious.,1,The food,is like,the owner of a large restaurant
The air is like in the forest,The air is cold,The weather is hot.,0,The air,is like in,the forest
The air is like in the market.,The air is cold,The weather is hot.,1,The air,is like in,the market
The current situation is like many sins,The current situation is bad,The current situation is good.,0,The current situation,is like,many sins
The current situation is like many rewards.,The current situation is bad,The current situation is good.,1,The current situation,is like,many rewards
The rain is like falling water,The rain is heavy,The rain is silent.,0,The rain,is like,falling water
The rain is like kettle water.,The rain is heavy,The rain is silent.,1,The rain,is like,kettle water
Her husband is like Kabayan,Her husband is lazy,Her husband is diligent.,0,Her husband,is like,Kabayan
Her husband is like Nyi Iteung.,Her husband is lazy,Her husband is diligent.,1,Her husband,is like,Nyi Iteung
The boy looks like he is working from morning to night,The boy is thin,The boy is fat.,0,The boy,looks like he is working from morning to,night
The boy looks like he's been sleeping all day.,The boy is thin,The boy is fat.,1,The boy,looks like,he
Life is like crossing a thread,Life is full of challenges,Life has no challenges.,0,Life,is like crossing,a thread
Life is like walking on a wide road.,Life is full of challenges,Life has no challenges.,1,Life,is like walking on,a wide road
"In the morning, it's like the sun has just risen",It's hot in the morning,It's still cold in the morning.,0,the morning,", it 's like",the sun
"In the morning, it seems like there will be no more sun.",It's hot in the morning,It's still cold in the morning.,1,the morning,",",it
Visiting him every day is like a war,Being with him every day is a lot of problems,Visiting him every day is no problem.,0,a war,ing,him
Visiting him every day is like having an assistant.,Being with him every day is a lot of problems,Visiting him every day is no problem.,1,him,every day is like having,an assistant
The old man walked up and down like a thief,To the parents step by step like disobedience,The old man is walking like a child.,0,The old man,walked up and down like,a thief
The old man walked like a judge.,To the parents step by step like disobedience,The old man is walking like a child.,1,The old man,walked like,a judge
The boy is just working like a buffalo,The boy is just working slowly now,The boy is just working hard now.,0,The boy,is just working like,a buffalo
The boy is just working like a peddler.,The boy is just working slowly now,The boy is just working hard now.,1,The boy,is just working like,a peddler
Looking for money like you will never get up again,Earn money diligently,Looking for lost money.,0,money,like,you
Finding money is like money falling from the sky.,Earn money diligently,Looking for lost money.,1,money falling from the sky,,the sky
The noodles are like an aromatic flower,The noodles are good,The noodles are not sure.,0,The noodles,are like,an aromatic flower
The noodles are like dough.,The noodles are good,The noodles are not sure.,1,The noodles,are like,dough
The earth is as if there is no thorn yet,The earth is very clean,The earth is male.,0,The earth,is as if there is no thorn,yet
The earth is like a hornet's nest.,The earth is very clean,The earth is male.,1,The earth,is like,a hornet 's nest
The school is like from west to east,His school is far away,The school is close to home.,0,The school,is like from west to,east
The school is just one step away from home.,His school is far away,The school is close to home.,1,The school,is just one step away from,home
It's like playing with a house and a field,Pay for the game with cash,Buy cheap toys.,0,It,'s like playing with,a house and a field
The child's toys are like three seeds.,Pay for the game with cash,Buy cheap toys.,1,The child 's toys,are like,three seeds
Tonight the sky is like clear water,Tonight the sky is bright,Tonight the sky is cloudy.,0,the sky,is like,clear water
Tonight the sky is like coffee water.,Tonight the sky is bright,Tonight the sky is cloudy.,1,the sky,is like,coffee water
He is famous as an artist who has received awards from all over the country,He is a famous artist that everyone knows,He is famous and no one knows about the artist.,0,He,is famous as,an artist who has received awards from all over the country
The famous artist is as if there is no internet.,He is a famous artist that everyone knows,He is famous and no one knows about the artist.,1,The famous artist,is as if there is,no internet
The result of planting is like a flood,The results of planting are many,The result of planting is little.,0,The result of planting,is like,a flood
The result of planting is like times for a while.,The results of planting are many,The result of planting is little.,1,The result of planting,is like times for,a while
Those who watched in the stadium yesterday were like children,The audience in the stadium yesterday was crowded,The spectators in the stadium were quiet yesterday.,0,Those who watched in the stadium yesterday,were like,children
Those who watched in the stadium yesterday seemed to have lost their minds.,The audience in the stadium yesterday was crowded,The spectators in the stadium were quiet yesterday.,1,,,
More and more here the government is like a rat in a rice barn,"The more you get here, the more corrupt the government becomes","The more the government gets here, the more it softens.",0,the government,is like,a rat in a rice barn
"The more the government is here, the more it looks like rice that has been cooked.","The more the government gets here, the more corrupt it gets","The more the government gets here, the more it softens.",1,the government,"is here , the more it looks like",rice that has been cooked
"Although he has many problems, he is like grass in the forest","Even though you have many problems, you never give up","Even though you have many problems, it's easy to give up.",0,he,"has many problems , he is like",grass in the forest
"Despite many problems, she is like a flower caught in the wind.","Even though you have many problems, you never give up","Even though you have many problems, it's easy to give up.",1,many problems,", she is like",a flower caught in the wind
Repairing this machine is like a heart surgery,Repairing this machine is difficult,Fixing this machine is easy.,0,a heart surgery,,this machine
Fixing this machine is like fixing a child's toy.,Repairing this machine is difficult,Fixing this machine is easy.,1,this machine,is like fixing,a child 's toy
Asep runs like a moose,The smoke runs fast,The smoke ran for a long time.,0,Asep,runs like,a moose
The smoke runs like a snail.,The smoke runs fast,The smoke ran for a long time.,1,The smoke,runs like,a snail
Iwan is famous because he looks like a photo model,Iwan is famous for being late,Iwan is famous for his fried food.,0,Iwan,is famous because he looks like,a photo model
Iwan is famous because he looks like a model photo.,Iwan is famous for being late,Iwan is famous for his fried food.,1,Iwan,is famous because he looks like,a model photo
"If you are a person, don't be heavy with diarrhea","If you are a person, don't be lazy","If you are a person, don't be too zealous.",0,you,"are a person , do n't be heavy with",diarrhea
"If you are a person, don't always have diarrhea.","If you are a person, don't be lazy","If you are a person, don't be too zealous.",1,you,"are a person , do n't always have",diarrhea
Life is like walking on the side of a cliff,Life is difficult,Life is easy.,0,Life,is like walking on,the side of a cliff
Life is like running in the field.,Life is difficult,Life is easy.,1,Life,is like running in,the field
Buy a cell phone for the price of a house,Buy an expensive cell phone,Buy a cheap cell phone.,0,the price of a house,the price of,a house
Buy a cell phone at the price of a shack.,Buy an expensive cell phone,Buy a cheap cell phone.,1,the price of a shack,,a shack
Pak Ustad's speech is like sugar in the mouth,Mr. Ustad's words are sweet,Mr. Ustad's words are bitter.,0,Pak Ustad 's speech,is like,sugar in the mouth
Mr. Ustad's words are like black coffee.,Mr. Ustad's words are sweet,Mr. Ustad's words are bitter.,1,Mr. Ustad 's words,are like,black coffee
This news is like heavy rain,This is shocking news,This is reassuring news.,0,This news,is like,heavy rain
This news is like a breeze.,This is shocking news,This is reassuring news.,1,This news,is like,a breeze
Siti's skin is the length of a baby,Siti's skin is smooth,Siti's skin is crusty.,0,Siti 's skin,is the length of,a baby
Siti's skin is full of moon.,Siti's skin is smooth,Siti's skin is crusty.,1,Siti 's skin,is full of,moon
His attitude was like an ice cube,His attitude was cold,His attitude was warm.,0,His attitude,was like,an ice cube
His attitude is like a bottle of milk for a baby.,His attitude was cold,His attitude was warm.,1,His attitude,is like,a bottle of milk for a baby
Brother and sister act like dog and cat,The older brother is not compatible,Brother and sister behave in harmony.,0,,,
The younger brother is acting like a starling and a buffalo.,The older brother is not compatible,Brother and sister behave in harmony.,1,The younger brother,is acting like,a starling and a buffalo
Having a girlfriend is the attitude of a tiger,Having a girlfriend is a brave attitude,Having a girlfriend is a bad attitude.,0,a girlfriend,is,the attitude of a tiger
Having a girlfriend is a bad attitude.,Having a girlfriend is a brave attitude,Having a girlfriend is a bad attitude.,1,a girlfriend,is,a bad attitude
My brother's body is like pain,My brother's body is tight,My brother has a round body.,0,My brother 's body,is like,pain
My brother has a body like an elephant.,My brother's body is tight,My brother has a round body.,1,My brother,has a body like,an elephant
Making tea is like drinking syrupy water,Make it happy,Make it sad.,0,tea,is like drinking,syrupy water
Doing tea is like drinking a limo.,Make it happy,Make it sad.,1,tea,is like drinking,a limo
Her voice is like a chirping bird,Her voice is melodious,Her voice is coupled.,0,Her voice,is like,a chirping bird
Her voice is like pouring rain.,Her voice is melodious,Her voice is coupled.,1,Her voice,is like pouring,rain
